epoch,val_error1,val_error5,val_loss,train_error1,train_error5,train_loss
1,0.95224,0.85348,5.473671514160779,0.9812069777007993,0.9333841723990706,5.8010969161987305
2,0.90174,0.74554,4.860781479854973,0.931083925827,0.8059558199672643,4.77264404296875
3,0.84916,0.65096,4.359563513677948,0.8877999511382981,0.7217396326942546,4.763974666595459
4,0.81658,0.59558,4.068760149332942,0.8504308962063494,0.6596657578598262,4.48239278793335
5,0.77324,0.5385800000000001,3.77814688731213,0.8188557775840308,0.6118897848602095,4.2534990310668945
6,0.744,0.49595999999999996,3.568708458725287,0.7921231190000991,0.5735762785023342,4.077036380767822
7,0.7305200000000001,0.48182,3.4898229727939682,0.769236172957936,0.5428144808600284,3.911860942840576
8,0.69814,0.44182,3.279650757507402,0.7503963183566233,0.5185381765218742,3.4804370403289795
9,0.67876,0.42179999999999995,3.1742722319096934,0.7335140539835947,0.49786952052308564,3.557673454284668
10,0.6654,0.4032,3.0877891523497447,0.7191466842339835,0.4808373927832984,3.984403133392334
11,0.6544,0.39664,3.0329610425598768,0.7056355650746546,0.46504475997274364,3.785977840423584
12,0.63886,0.37768,2.9338857227442214,0.6939829077708058,0.45171160356144047,3.529526710510254
13,0.6209,0.36075999999999997,2.8333226284202264,0.6832832878149375,0.43889672462684415,3.225959062576294
14,0.62088,0.35851999999999995,2.8304298179490224,0.6726539163122371,0.4280035311555792,3.2091972827911377
15,0.61392,0.35366,2.798044098883259,0.6638752012813318,0.41841383675976673,3.4544925689697266
16,0.60066,0.34146,2.7289091896037667,0.6556764262582473,0.40887487735790884,3.3051013946533203
17,0.58968,0.32889999999999997,2.666677785163023,0.6474035000901521,0.4011249118967316,2.9191503524780273
18,0.5811,0.32262,2.6182609650553488,0.6402225470996366,0.3939517642899013,3.054656982421875
19,0.57416,0.31620000000000004,2.579162152446046,0.6341460559005969,0.3872102544008704,3.3960416316986084
20,0.56806,0.31004,2.5504583971840993,0.6278736495710551,0.38062563272391503,3.2257697582244873
21,0.56494,0.30582,2.5319963924738826,0.6220180507303108,0.3753265577399355,3.180772542953491
22,0.55366,0.29678000000000004,2.471888696660801,0.6170069944043204,0.36980190716744965,2.850567102432251
23,0.5558000000000001,0.29764,2.4769912447248186,0.6122230747435736,0.365056233886761,3.0534560680389404
24,0.54636,0.29047999999999996,2.4334698757346795,0.6072744614870661,0.360197382542635,2.957101345062256
25,0.54518,0.29203999999999997,2.4398637134201673,0.6032648358879054,0.35590051882385354,2.6489076614379883
26,0.5319400000000001,0.27762,2.356484149183546,0.598811864495417,0.35191040668390616,2.7761566638946533
27,0.52912,0.27836000000000005,2.344007810767816,0.5942183961965926,0.34768691357176695,3.0052292346954346
28,0.53346,0.2784,2.3616740752239616,0.5907098762300309,0.3438341761846816,3.2447190284729004
29,0.5223,0.27012,2.299507532800947,0.5869383148332731,0.34066831256190644,2.8745388984680176
30,0.52056,0.26758000000000004,2.2955504400389537,0.5837794760558148,0.3372581404297801,3.005213737487793
31,0.51612,0.26237999999999995,2.2691332381598803,0.5804941900626538,0.3344958151435371,2.8466250896453857
32,0.5126200000000001,0.2622,2.2500089723236707,0.5778692395292729,0.3320792683545549,2.862405300140381
33,0.50962,0.25902000000000003,2.2341349915582307,0.5748165539699353,0.3288369119716633,2.736243963241577
34,0.51118,0.2613,2.249200626903651,0.5720417400697957,0.32671306707088144,2.741032123565674
35,0.50894,0.25776,2.2282238383682405,0.5690788164228395,0.3240826527689208,2.6011831760406494
36,0.5072,0.25602,2.215304217168263,0.566667733402437,0.3216169320627209,2.830188035964966
37,0.50168,0.25254,2.2000363852296556,0.5642090375415539,0.3187703086326763,2.7691118717193604
38,0.50642,0.25395999999999996,2.214303489850492,0.5615193023235847,0.31673700618264444,2.7578952312469482
39,0.49307999999999996,0.24546,2.155981213462596,0.5591066582264451,0.3146365774329186,2.814713478088379
40,0.49458,0.24619999999999997,2.1601682031641203,0.5564028733178423,0.31205689812491266,2.940281391143799
41,0.49529999999999996,0.24638000000000004,2.166974894854487,0.5541486785095151,0.3102811733364971,3.063999891281128
42,0.48916000000000004,0.24224,2.131142417995297,0.552132547903591,0.3078732124695688,2.756472110748291
43,0.48856,0.24044,2.126178905063746,0.5501413945254601,0.3064893179421574,2.8533835411071777
44,0.4838,0.23751999999999995,2.1063633281357435,0.5481104336905337,0.3048611149053948,2.7445435523986816
45,0.48578,0.23712,2.106481749792488,0.546820984305715,0.3032508642511086,2.564469337463379
46,0.48234,0.23472000000000004,2.0944950878620148,0.5438822573481834,0.30047214765912644,2.751046657562256
47,0.48258,0.23634,2.0985826637063707,0.5423204000727462,0.30022081430445835,2.3957605361938477
48,0.47614,0.22829999999999995,2.0582587950083675,0.5409825573090783,0.2980797975595687,2.4147605895996094
49,0.47750000000000004,0.23218000000000005,2.07203255441724,0.5390444805400076,0.29643130052522426,2.574470043182373
50,0.4777,0.23263999999999996,2.0656351520090688,0.5372312899099024,0.2942856005501234,2.4084951877593994
51,0.47292,0.22719999999999996,2.043684873653918,0.5366622774392409,0.2939086005181214,2.5935308933258057
52,0.47224,0.22807999999999995,2.0434991930212294,0.534002202679276,0.29186202891582436,2.5395147800445557
53,0.46982,0.22575999999999996,2.035444444539596,0.5321172025192656,0.2906553165980703,2.5402672290802
54,0.47074000000000005,0.22643999999999997,2.033379830876175,0.5313959850667399,0.28970774301866975,2.726895332336426
55,0.46524,0.22204000000000002,2.01385752035647,0.5297506101858696,0.2886454302990945,2.420903444290161
56,0.46774000000000004,0.22209999999999996,2.018257733510465,0.5281060158433678,0.2869173183511595,2.5167315006256104
57,0.46912,0.22563999999999995,2.029618277841685,0.5273777735455253,0.28587608016753474,2.3915886878967285
58,0.4646,0.21972000000000003,1.9978516466763554,0.5253569597093899,0.2848262560618561,2.7527244091033936
59,0.46462000000000003,0.21808000000000005,1.9975252929998903,0.5247793613166746,0.283549295290934,2.521524429321289
60,0.45931999999999995,0.21445999999999998,1.9731143013555177,0.522820990550022,0.28218725583784154,2.6982107162475586
61,0.46014,0.21616000000000002,1.9738722954477583,0.5215026612455675,0.28091029506691945,2.5695459842681885
62,0.45953999999999995,0.21709999999999996,1.9826821003641402,0.5212575721978477,0.28014848961923,2.604635238647461
63,0.4598,0.21836,1.9862754290201226,0.5198783609006477,0.2787122990211268,2.5368220806121826
64,0.45430000000000004,0.21584000000000003,1.9606309849388746,0.5184265595351738,0.27780531343688997,2.2549729347229004
65,0.46340000000000003,0.21999999999999997,1.9918892499135465,0.5172534103672668,0.2772932802671314,2.4998600482940674
66,0.45708000000000004,0.21452000000000004,1.9662885769289367,0.5163877933165621,0.2765705017378687,2.099182367324829
67,0.45216,0.21131999999999995,1.938816177601717,0.5152052776882327,0.275780596908912,2.399116039276123
68,0.4518,0.20908000000000004,1.9321593605742162,0.5142686316459915,0.27526309997057374,2.290877342224121
69,0.4544,0.21265999999999996,1.945875616097937,0.5136777641010111,0.27369109569634564,2.485299587249756
70,0.44852000000000003,0.20908000000000004,1.9233927477379233,0.5123984617149833,0.27275991342268413,2.1917967796325684
71,0.4488,0.20887999999999995,1.9270014775042632,0.5110887183325827,0.2715867642547771,2.4476940631866455
72,0.44964000000000004,0.20894000000000001,1.9210722118007892,0.5105969791604061,0.27151183257139777,2.4738306999206543
73,0.45028,0.20848,1.9216918975723034,0.5094394407598697,0.270572844914051,2.0782530307769775
74,0.45742000000000005,0.21318000000000004,1.955488816207769,0.5089492626644302,0.27039644324276224,2.6931445598602295
75,0.44930000000000003,0.2086,1.922787415129798,0.5077823578034714,0.2690999690126268,2.516322135925293
76,0.44892,0.20762000000000003,1.915763247986229,0.5072141258711784,0.26848256316311614,2.470148801803589
77,0.45124,0.20833999999999997,1.9217599447892637,0.5067192645455276,0.2680673167510559,2.245882511138916
78,0.45686000000000004,0.21340000000000003,1.9644723881264121,0.5053689331679633,0.2670760330230173,2.4724323749542236
79,0.44792,0.20748,1.9150203703617563,0.504861583228416,0.2667763062895001,2.0956311225891113
80,0.44699999999999995,0.20687999999999995,1.909313208594614,0.5038148812762114,0.2655586664345866,2.0503032207489014
81,0.44884,0.20758,1.9132315157627573,0.5034995437753236,0.2653580680738733,2.370831251144409
82,0.44610000000000005,0.20548,1.9060186445713043,0.5024832828194918,0.26479295829505445,2.5644705295562744
83,0.44242000000000004,0.20467999999999997,1.8922764178441496,0.502018862490214,0.2639733930080934,2.7020082473754883
84,0.44589999999999996,0.20498000000000005,1.8968778210026878,0.5014717050938715,0.26331149647157626,2.5181939601898193
85,0.43644000000000005,0.19776000000000005,1.8603606570740134,0.5000136594214494,0.26272219000333286,2.2397427558898926
86,0.44555999999999996,0.2037,1.9004552595469417,0.4992518539737598,0.2620056557810184,2.450033664703369
87,0.45009999999999994,0.20994000000000002,1.926904421071617,0.4993127359665055,0.2620517075447619,2.259361743927002
88,0.44096,0.20230000000000004,1.878144993465774,0.4982707172445122,0.26091290206507034,2.452920436859131
89,0.4377,0.19926,1.8636937640151199,0.497650969779896,0.26011909454427096,2.077183246612549
90,0.44914,0.20742000000000005,1.9163550132391405,0.49643020777150837,0.2598607363442861,2.4303436279296875
91,0.44267999999999996,0.20452000000000004,1.8921312111981061,0.49619292410747384,0.2593003097956784,2.5977513790130615
92,0.43798000000000004,0.20023999999999997,1.8646501193241196,0.4966737357424911,0.25943144024159226,2.3081774711608887
93,0.4366,0.19886000000000004,1.859548665431081,0.4955263443407456,0.2585767507280472,2.4464666843414307
94,0.43922000000000005,0.19984000000000002,1.8693864479356883,0.4947067790537846,0.25765883760665076,2.562572479248047
95,0.43623999999999996,0.19764000000000004,1.8543393362541587,0.49364602741094643,0.2569040570042781,2.4364638328552246
96,0.44104,0.20187999999999995,1.8773302764308697,0.49335176444600903,0.2570554814477738,2.5917725563049316
97,0.43182,0.19706,1.8396082952314494,0.4931761433130888,0.2568486387801122,2.193066120147705
98,0.44388000000000005,0.20567999999999997,1.8958772055956783,0.4917571245590934,0.2556895393028388,2.418238401412964
99,0.44506,0.20299999999999996,1.8861764857963639,0.49187108316089945,0.254944905699257,2.0207107067108154
100,0.43178000000000005,0.19476000000000004,1.8336990189795592,0.4911943563953801,0.2546990361131687,2.532205104827881
101,0.4304,0.19638,1.8447728534134067,0.49098439157424445,0.25426427624189507,2.727576732635498
102,0.43322000000000005,0.19433999999999996,1.840458828575757,0.49005789253079424,0.25437277107512135,2.739621162414551
103,0.42942,0.19421999999999995,1.8259077862817414,0.49020151159060454,0.2541432927947722,2.2405855655670166
104,0.43867999999999996,0.19916,1.8673600256443024,0.48966450119305294,0.25301073162202903,2.2100367546081543
105,0.43191999999999997,0.19376000000000004,1.8290129930389172,0.4896933811126887,0.25320274406068843,2.4743852615356445
106,0.43882,0.19972,1.8630331973640286,0.4893757019966952,0.2525213340649579,2.6467175483703613
107,0.42818,0.19416,1.825842256448707,0.4885100849459907,0.2526743195851907,2.2774770259857178
108,0.43298000000000003,0.19762000000000002,1.8530899639032326,0.4877084720415059,0.25231761355077054,2.0396292209625244
109,0.42689999999999995,0.19177999999999995,1.8129014579617246,0.4868373912222216,0.2509165471792514,2.5152108669281006
110,0.43300000000000005,0.19310000000000005,1.8298399983620157,0.4872229771762776,0.2514925844952297,2.0998730659484863
111,0.42966000000000004,0.19340000000000002,1.822932940964796,0.4858546934162369,0.25082522419013287,2.488858938217163
112,0.43244000000000005,0.19633999999999996,1.8422912815395667,0.48566658366942017,0.25063945605842175,2.5771851539611816
113,0.43966000000000005,0.20021999999999995,1.8718342665506869,0.48542149462170037,0.25001034213338313,2.3621199131011963
114,0.43357999999999997,0.19552000000000003,1.83518940757732,0.4850171757467996,0.25048256784634637,2.7483179569244385
115,0.43355999999999995,0.19588000000000005,1.8332806837802031,0.48464017571479756,0.2496848576337043,2.0346813201904297
116,0.42916,0.19138,1.814826711099975,0.48439040343686657,0.24898159256365482,2.2566897869110107
117,0.42772,0.19269999999999998,1.8126711121627264,0.48409614047192906,0.24853434407848474,2.3145992755889893
118,0.44418,0.20555999999999996,1.8936009175923405,0.48345375739462537,0.24893319918480572,2.711573600769043
119,0.42491999999999996,0.19167999999999996,1.8079029741335888,0.4829073805366514,0.247905230153446,2.484144926071167
120,0.42404,0.18799999999999994,1.7966031711928698,0.48242969105510836,0.2479583067625064,2.059004068374634
121,0.42816,0.19252000000000002,1.8095687779845024,0.4822532893838196,0.24753759658186636,2.7333240509033203
122,0.42813999999999997,0.19213999999999998,1.8135348534097477,0.48184038458686496,0.24768980156373055,2.475853204727173
123,0.42679999999999996,0.19111999999999996,1.808950852982852,0.481558610235824,0.2469311182695152,2.524231195449829
124,0.42112000000000005,0.18708000000000002,1.7788101629335054,0.4813876723331151,0.24661578076862734,2.4679629802703857
125,0.42303999999999997,0.18888000000000005,1.7980915253259697,0.48125654188720124,0.24651821347256053,2.270268440246582
126,0.41966000000000003,0.18725999999999998,1.7770133243531596,0.48085144247393197,0.24627390496320933,2.4502336978912354
127,0.42988000000000004,0.19289999999999996,1.8195371524411805,0.4795978978540658,0.24510387794877642,2.2736964225769043
128,0.42716,0.18969999999999998,1.8009752126372591,0.4798656225144732,0.2457454804877116,2.360804796218872
129,0.42678000000000005,0.19154000000000004,1.8129084980001255,0.47929582950544314,0.24551834382246807,2.459329605102539
130,0.42278000000000004,0.19052000000000002,1.7992105313709803,0.4799655314256456,0.24536769991734098,2.2161362171173096
131,0.42542,0.19138,1.8091681654355964,0.47893444024081167,0.2449118655101169,2.4827709197998047
132,0.42218,0.18779999999999997,1.7916328006861162,0.47811175280037654,0.24455750109080232,2.4423580169677734
133,0.4242,0.18935999999999997,1.8000795451962217,0.4787650634148397,0.24450988825032183,2.295973777770996
134,0.42816,0.19330000000000003,1.814110088713315,0.47756225378892836,0.24385423602075296,2.2311716079711914
135,0.42512000000000005,0.19194,1.8057961299711345,0.47805399296110496,0.24360914697303315,2.4058640003204346
136,0.41916,0.18711999999999995,1.7759127610800218,0.477552887328506,0.2437832070292163,2.2964389324188232
137,0.42294,0.18899999999999995,1.784832433170202,0.4772562827484629,0.24333049477546642,2.3077025413513184
138,0.41913999999999996,0.18732000000000004,1.7799845927832079,0.47648589137871955,0.2431907784074988,2.303417682647705
139,0.41788000000000003,0.18501999999999996,1.7601374983787537,0.4767106864288574,0.24332503100688674,2.3533051013946533
140,0.41954,0.18628,1.777152275552555,0.4765475539098337,0.24297456927941474,2.272578001022339
141,0.42579999999999996,0.19028,1.7927997927276456,0.4759137567545839,0.242706064080639,2.1124894618988037
142,0.42418,0.19035999999999997,1.7958263517642508,0.4759262453684805,0.24238292119606575,2.2434582710266113
143,0.42147999999999997,0.18857999999999997,1.7827530746557274,0.476074547658502,0.24203870377554215,2.599431276321411
144,0.42210000000000003,0.18825999999999998,1.7844266636031014,0.47566008178481023,0.2422564739803632,2.389516592025757
145,0.41968000000000005,0.18586000000000003,1.77257552682137,0.47495915832986646,0.2418708880263073,2.574127674102783
146,0.41838,0.18666000000000005,1.7669329132352556,0.47487251857095913,0.24187791287162408,2.353023052215576
147,0.41978000000000004,0.18354000000000004,1.760807646780598,0.47475543781567897,0.24148608261061988,2.260406970977783
148,0.41700000000000004,0.18330000000000002,1.7606552717637043,0.47457903614439023,0.24116996457136342,2.1936886310577393
149,0.41612000000000005,0.18286000000000002,1.7599937550875606,0.4744510278519506,0.24062827094360062,2.3619556427001953
150,0.41703999999999997,0.18403999999999998,1.7621607464187,0.4736665867915736,0.24051275126505756,2.4420278072357178
151,0.39315999999999995,0.16706,1.646466691275032,0.45192000730583914,0.22407149107025082,2.3654613494873047
